wavelength,polarizability
602.3,-340.418
602.4,-340.652
602.5,-340.887
602.6,-341.121
602.7,-341.356
602.8,-341.59
602.9,-341.825
603,-342.061
603.1,-342.296
603.2,-342.531
603.3,-342.767
603.4,-343.003
603.5,-343.239
603.6,-343.475
603.7,-343.712
603.8,-343.949
603.9,-344.185
604,-344.422
604.1,-344.66
604.2,-344.897
604.3,-345.135
604.4,-345.372
604.5,-345.61
604.6,-345.848
604.7,-346.087
604.8,-346.325
604.9,-346.564
605,-346.803
605.1,-347.042
605.2,-347.281
605.3,-347.521
605.4,-347.76
605.5,-348
605.6,-348.24
605.7,-348.481
605.8,-348.721
605.9,-348.962
606,-349.202
606.1,-349.443
606.2,-349.684
606.3,-349.926
606.4,-350.167
606.5,-350.409
606.6,-350.651
606.7,-350.893
606.8,-351.136
606.9,-351.378
607,-351.621
607.1,-351.864
607.2,-352.107
607.3,-352.35
607.4,-352.594
607.5,-352.837
607.6,-353.081
607.7,-353.325
607.8,-353.57
607.9,-353.814
608,-354.059
608.1,-354.304
608.2,-354.549
608.3,-354.794
608.4,-355.039
608.5,-355.285
608.6,-355.531
608.7,-355.777
608.8,-356.023
608.9,-356.269
609,-356.516
609.1,-356.763
609.2,-357.01
609.3,-357.257
609.4,-357.505
609.5,-357.752
609.6,-358
609.7,-358.248
609.8,-358.496
609.9,-358.745
610,-358.993
610.1,-359.242
610.2,-359.491
610.3,-359.74
610.4,-359.99
610.5,-360.239
610.6,-360.489
610.7,-360.739
610.8,-360.99
610.9,-361.24
611,-361.491
611.1,-361.741
611.2,-361.992
611.3,-362.244
611.4,-362.495
611.5,-362.747
611.6,-362.999
611.7,-363.251
611.8,-363.503
611.9,-363.756
612,-364.008
612.1,-364.261
612.2,-364.514
612.3,-364.767
612.4,-365.021
612.5,-365.275
612.6,-365.529
612.7,-365.783
612.8,-366.037
612.9,-366.292
613,-366.546
613.1,-366.801
613.2,-367.056
613.3,-367.312
613.4,-367.567
613.5,-367.823
613.6,-368.079
613.7,-368.335
613.8,-368.592
613.9,-368.848
614,-369.105
614.1,-369.362
614.2,-369.62
614.3,-369.877
