wavelength             alpha(7p1/2)         Uncertainty
1106.19000             -1000.08               149.56
1106.20000             -1001.29               149.75
1106.21000             -1002.51               149.94
1106.22000             -1003.73               150.13
1106.23000             -1004.95               150.32
1106.24000             -1006.18               150.51
1106.25000             -1007.41               150.70
1106.26000             -1008.64               150.90
1106.27000             -1009.88               151.09
1106.28000             -1011.12               151.29
1106.29000             -1012.36               151.48
1106.30000             -1013.61               151.68
1106.31000             -1014.87               151.88
1106.32000             -1016.12               152.07
1106.33000             -1017.38               152.27
1106.34000             -1018.65               152.47
1106.35000             -1019.92               152.67
1106.36000             -1021.19               152.87
1106.37000             -1022.47               153.07
1106.38000             -1023.75               153.28
1106.39000             -1025.03               153.48
1106.40000             -1026.32               153.68
1106.41000             -1027.61               153.89
1106.42000             -1028.91               154.10
1106.43000             -1030.21               154.30
1106.44000             -1031.51               154.51
1106.45000             -1032.82               154.72
1106.46000             -1034.13               154.93
1106.47000             -1035.45               155.14
1106.48000             -1036.77               155.35
1106.49000             -1038.10               155.56
1106.50000             -1039.43               155.77
1106.51000             -1040.76               155.98
1106.52000             -1042.10               156.20
1106.53000             -1043.44               156.41
1106.54000             -1044.79               156.63
1106.55000             -1046.14               156.85
1106.56000             -1047.50               157.06
1106.57000             -1048.86               157.28
1106.58000             -1050.22               157.50
1106.59000             -1051.59               157.72
1106.60000             -1052.97               157.94
1106.61000             -1054.35               158.16
1106.62000             -1055.73               158.39
1106.63000             -1057.12               158.61
1106.64000             -1058.51               158.84
1106.65000             -1059.90               159.06
1106.66000             -1061.31               159.29
1106.67000             -1062.71               159.52
1106.68000             -1064.12               159.74
1106.69000             -1065.54               159.97
1106.70000             -1066.96               160.20
1106.71000             -1068.38               160.43
1106.72000             -1069.81               160.67
1106.73000             -1071.25               160.90
1106.74000             -1072.69               161.13
1106.75000             -1074.13               161.37
1106.76000             -1075.58               161.60
1106.77000             -1077.03               161.84
1106.78000             -1078.49               162.08
1106.79000             -1079.96               162.32
1106.80000             -1081.42               162.56
1106.81000             -1082.90               162.80
1106.82000             -1084.38               163.04
1106.83000             -1085.86               163.28
1106.84000             -1087.35               163.53
1106.85000             -1088.85               163.77
1106.86000             -1090.35               164.02
1106.87000             -1091.85               164.27
1106.88000             -1093.36               164.52
1106.89000             -1094.88               164.76
1106.90000             -1096.40               165.01
1106.91000             -1097.92               165.27
1106.92000             -1099.45               165.52
1106.93000             -1100.99               165.77
1106.94000             -1102.53               166.03
1106.95000             -1104.08               166.28
1106.96000             -1105.63               166.54
1106.97000             -1107.19               166.80
1106.98000             -1108.76               167.06
1106.99000             -1110.33               167.32
1107.00000             -1111.90               167.58
1107.01000             -1113.48               167.84
1107.02000             -1115.07               168.10
1107.03000             -1116.66               168.37
1107.04000             -1118.26               168.63
1107.05000             -1119.87               168.90
1107.06000             -1121.48               169.17
1107.07000             -1123.09               169.44
1107.08000             -1124.71               169.71
1107.09000             -1126.34               169.98
1107.10000             -1127.98               170.25
1107.11000             -1129.62               170.53
1107.12000             -1131.26               170.80
1107.13000             -1132.91               171.08
1107.14000             -1134.57               171.35
1107.15000             -1136.24               171.63
1107.16000             -1137.91               171.91
1107.17000             -1139.58               172.19
1107.18000             -1141.26               172.48
1107.19000             -1142.95               172.76
1107.20000             -1144.65               173.05
1107.21000             -1146.35               173.33
1107.22000             -1148.06               173.62
1107.23000             -1149.77               173.91
1107.24000             -1151.50               174.20
1107.25000             -1153.22               174.49
1107.26000             -1154.96               174.78
1107.27000             -1156.70               175.08
1107.28000             -1158.45               175.37
1107.29000             -1160.20               175.67
1107.30000             -1161.96               175.97
1107.31000             -1163.73               176.27
1107.32000             -1165.50               176.57
1107.33000             -1167.28               176.87
1107.34000             -1169.07               177.17
1107.35000             -1170.87               177.48
1107.36000             -1172.67               177.78
1107.37000             -1174.48               178.09
1107.38000             -1176.30               178.40
1107.39000             -1178.12               178.71
1107.40000             -1179.95               179.02
1107.41000             -1181.79               179.34
1107.42000             -1183.63               179.65
1107.43000             -1185.49               179.97
1107.44000             -1187.35               180.28
1107.45000             -1189.21               180.60
1107.46000             -1191.09               180.92
1107.47000             -1192.97               181.25
1107.48000             -1194.86               181.57
1107.49000             -1196.76               181.90
1107.50000             -1198.66               182.22
1107.51000             -1200.58               182.55
1107.52000             -1202.50               182.88
1107.53000             -1204.43               183.21
1107.54000             -1206.36               183.54
1107.55000             -1208.31               183.88
1107.56000             -1210.26               184.21
1107.57000             -1212.22               184.55
1107.58000             -1214.19               184.89
1107.59000             -1216.16               185.23
1107.60000             -1218.15               185.57
1107.61000             -1220.14               185.92
1107.62000             -1222.14               186.26
1107.63000             -1224.15               186.61
1107.64000             -1226.17               186.96
1107.65000             -1228.19               187.31
1107.66000             -1230.23               187.66
1107.67000             -1232.27               188.02
1107.68000             -1234.32               188.37
1107.69000             -1236.38               188.73
1107.70000             -1238.45               189.09
1107.71000             -1240.53               189.45
1107.72000             -1242.62               189.82
1107.73000             -1244.71               190.18
1107.74000             -1246.82               190.55
1107.75000             -1248.93               190.91
1107.76000             -1251.06               191.28
1107.77000             -1253.19               191.66
1107.78000             -1255.33               192.03
1107.79000             -1257.48               192.41
1107.80000             -1259.64               192.78
1107.81000             -1261.81               193.16
1107.82000             -1263.99               193.54
1107.83000             -1266.17               193.93
1107.84000             -1268.37               194.31
1107.85000             -1270.58               194.70
1107.86000             -1272.80               195.09
1107.87000             -1275.02               195.48
1107.88000             -1277.26               195.87
1107.89000             -1279.51               196.27
1107.90000             -1281.77               196.66
1107.91000             -1284.03               197.06
1107.92000             -1286.31               197.46
1107.93000             -1288.60               197.87
1107.94000             -1290.90               198.27
1107.95000             -1293.20               198.68
1107.96000             -1295.52               199.09
1107.97000             -1297.85               199.50
1107.98000             -1300.19               199.91
1107.99000             -1302.54               200.33
1108.00000             -1304.90               200.74
1108.01000             -1307.28               201.16
1108.02000             -1309.66               201.58
1108.03000             -1312.05               202.01
1108.04000             -1314.46               202.44
1108.05000             -1316.87               202.86
1108.06000             -1319.30               203.29
1108.07000             -1321.74               203.73
1108.08000             -1324.19               204.16
1108.09000             -1326.65               204.60
1108.10000             -1329.12               205.04
1108.11000             -1331.61               205.48
1108.12000             -1334.11               205.93
1108.13000             -1336.62               206.37
1108.14000             -1339.14               206.82
1108.15000             -1341.67               207.27
1108.16000             -1344.21               207.73
1108.17000             -1346.77               208.19
1108.18000             -1349.34               208.64
1108.19000             -1351.92               209.11
1108.20000             -1354.51               209.57
1108.21000             -1357.12               210.04
1108.22000             -1359.74               210.51
1108.23000             -1362.37               210.98
1108.24000             -1365.02               211.45
1108.25000             -1367.67               211.93
1108.26000             -1370.35               212.41
1108.27000             -1373.03               212.89
1108.28000             -1375.73               213.37
1108.29000             -1378.44               213.86
1108.30000             -1381.16               214.35
1108.31000             -1383.90               214.84
1108.32000             -1386.65               215.34
