wavelength,polarizability,Uncertainty
1108.43,-1417.85,220.97
1108.44,-1420.78,221.5
1108.45,-1423.72,222.04
1108.46,-1426.67,222.57
1108.47,-1429.64,223.11
1108.48,-1432.63,223.65
1108.49,-1435.63,224.2
1108.5,-1438.65,224.75
1108.51,-1441.68,225.3
1108.52,-1444.73,225.85
1108.53,-1447.8,226.41
1108.54,-1450.88,226.97
1108.55,-1453.98,227.54
1108.56,-1457.09,228.11
1108.57,-1460.22,228.68
1108.58,-1463.37,229.25
1108.59,-1466.54,229.83
1108.6,-1469.72,230.41
1108.61,-1472.92,231
1108.62,-1476.14,231.58
1108.63,-1479.37,232.18
1108.64,-1482.63,232.77
1108.65,-1485.9,233.37
1108.66,-1489.19,233.97
1108.67,-1492.5,234.58
1108.68,-1495.82,235.19
1108.69,-1499.17,235.8
1108.7,-1502.53,236.42
1108.71,-1505.91,237.04
1108.72,-1509.31,237.67
1108.73,-1512.73,238.3
1108.74,-1516.17,238.93
1108.75,-1519.63,239.56
1108.76,-1523.11,240.21
1108.77,-1526.61,240.85
1108.78,-1530.13,241.5
1108.79,-1533.67,242.15
1108.8,-1537.23,242.81
1108.81,-1540.81,243.47
1108.82,-1544.41,244.13
1108.83,-1548.03,244.8
1108.84,-1551.67,245.48
1108.85,-1555.34,246.15
1108.86,-1559.02,246.83
1108.87,-1562.73,247.52
1108.88,-1566.46,248.21
1108.89,-1570.21,248.91
1108.9,-1573.99,249.61
1108.91,-1577.78,250.31
1108.92,-1581.6,251.02
1108.93,-1585.44,251.73
1108.94,-1589.31,252.45
1108.95,-1593.2,253.17
1108.96,-1597.11,253.9
1108.97,-1601.05,254.63
1108.98,-1605.01,255.37
1108.99,-1609,256.11
1109,-1613.01,256.86
1109.01,-1617.04,257.61
1109.02,-1621.1,258.36
1109.03,-1625.19,259.13
1109.04,-1629.3,259.89
1109.05,-1633.43,260.66
1109.06,-1637.59,261.44
1109.07,-1641.78,262.22
1109.08,-1646,263.01
1109.09,-1650.24,263.8
1109.1,-1654.51,264.6
1109.11,-1658.81,265.41
1109.12,-1663.13,266.22
1109.13,-1667.48,267.03
1109.14,-1671.86,267.85
1109.15,-1676.27,268.68
1109.16,-1680.71,269.51
1109.17,-1685.17,270.35
1109.18,-1689.67,271.19
1109.19,-1694.19,272.04
1109.2,-1698.75,272.89
1109.21,-1703.33,273.76
1109.22,-1707.95,274.62
1109.23,-1712.59,275.5
1109.24,-1717.27,276.38
1109.25,-1721.98,277.26
1109.26,-1726.72,278.16
1109.27,-1731.49,279.05
1109.28,-1736.3,279.96
1109.29,-1741.13,280.87
1109.3,-1746.01,281.79
1109.31,-1750.91,282.72
1109.32,-1755.85,283.65
1109.33,-1760.82,284.59
1109.34,-1765.83,285.53
1109.35,-1770.87,286.49
1109.36,-1775.95,287.44
1109.37,-1781.06,288.41
1109.38,-1786.21,289.39
1109.39,-1791.39,290.37
1109.4,-1796.62,291.36
1109.41,-1801.87,292.35
1109.42,-1807.17,293.36
1109.43,-1812.51,294.37
1109.44,-1817.88,295.39
1109.45,-1823.29,296.41
1109.46,-1828.75,297.45
1109.47,-1834.24,298.49
1109.48,-1839.77,299.54
1109.49,-1845.34,300.6
1109.5,-1850.96,301.67
1109.51,-1856.61,302.74
1109.52,-1862.31,303.83
1109.53,-1868.05,304.92
1109.54,-1873.83,306.02
1109.55,-1879.66,307.13
1109.56,-1885.53,308.25
1109.57,-1891.44,309.37
1109.58,-1897.41,310.51
1109.59,-1903.41,311.66
1109.6,-1909.46,312.81
1109.61,-1915.56,313.98
1109.62,-1921.71,315.15
1109.63,-1927.9,316.33
1109.64,-1934.15,317.52
1109.65,-1940.44,318.73
1109.66,-1946.78,319.94
1109.67,-1953.17,321.16
1109.68,-1959.61,322.39
1109.69,-1966.1,323.64
1109.7,-1972.65,324.89
1109.71,-1979.25,326.15
1109.72,-1985.9,327.43
