wavelength,,Uncertainty,,,,Uncertainty,,polarizability
1102.22,-689.48,108.41,,1102.22,1028.93,3.11,,-1718.41
1102.23,-690.02,108.47,,1102.23,1028.9,3.11,,-1718.92
1102.24,-690.55,108.52,,1102.24,1028.87,3.11,,-1719.42
1102.25,-691.09,108.58,,1102.25,1028.84,3.11,,-1719.93
1102.26,-691.62,108.63,,1102.26,1028.81,3.11,,-1720.43
1102.27,-692.16,108.68,,1102.27,1028.78,3.11,,-1720.94
1102.28,-692.7,108.74,,1102.28,1028.75,3.11,,-1721.45
1102.29,-693.24,108.79,,1102.29,1028.72,3.11,,-1721.96
1102.3,-693.78,108.85,,1102.3,1028.69,3.11,,-1722.47
1102.31,-694.32,108.9,,1102.31,1028.66,3.11,,-1722.98
1102.32,-694.86,108.96,,1102.32,1028.63,3.11,,-1723.49
1102.33,-695.4,109.01,,1102.33,1028.6,3.11,,-1724
1102.34,-695.94,109.07,,1102.34,1028.56,3.11,,-1724.5
1102.35,-696.48,109.12,,1102.35,1028.53,3.11,,-1725.01
1102.36,-697.03,109.18,,1102.36,1028.5,3.11,,-1725.53
1102.37,-697.57,109.23,,1102.37,1028.47,3.11,,-1726.04
1102.38,-698.12,109.29,,1102.38,1028.44,3.11,,-1726.56
1102.39,-698.66,109.34,,1102.39,1028.41,3.11,,-1727.07
1102.4,-699.21,109.4,,1102.4,1028.38,3.11,,-1727.59
1102.41,-699.76,109.46,,1102.41,1028.35,3.11,,-1728.11
1102.42,-700.31,109.51,,1102.42,1028.32,3.11,,-1728.63
1102.43,-700.85,109.57,,1102.43,1028.29,3.11,,-1729.14
1102.44,-701.4,109.63,,1102.44,1028.26,3.11,,-1729.66
1102.45,-701.95,109.68,,1102.45,1028.23,3.11,,-1730.18
1102.46,-702.51,109.74,,1102.46,1028.2,3.11,,-1730.71
1102.47,-703.06,109.8,,1102.47,1028.17,3.11,,-1731.23
1102.48,-703.61,109.86,,1102.48,1028.14,3.11,,-1731.75
1102.49,-704.16,109.91,,1102.49,1028.11,3.11,,-1732.27
1102.5,-704.72,109.97,,1102.5,1028.08,3.11,,-1732.8
1102.51,-705.27,110.03,,1102.51,1028.05,3.11,,-1733.32
1102.52,-705.83,110.09,,1102.52,1028.02,3.11,,-1733.85
1102.53,-706.38,110.14,,1102.53,1027.99,3.11,,-1734.37
1102.54,-706.94,110.2,,1102.54,1027.96,3.11,,-1734.9
1102.55,-707.5,110.26,,1102.55,1027.93,3.11,,-1735.43
1102.56,-708.06,110.32,,1102.56,1027.9,3.11,,-1735.96
1102.57,-708.62,110.38,,1102.57,1027.87,3.11,,-1736.49
1102.58,-709.18,110.44,,1102.58,1027.84,3.11,,-1737.02
1102.59,-709.74,110.5,,1102.59,1027.81,3.11,,-1737.55
1102.6,-710.3,110.56,,1102.6,1027.78,3.11,,-1738.08
1102.61,-710.87,110.62,,1102.61,1027.75,3.11,,-1738.62
1102.62,-711.43,110.68,,1102.62,1027.71,3.11,,-1739.14
1102.63,-711.99,110.74,,1102.63,1027.68,3.11,,-1739.67
1102.64,-712.56,110.8,,1102.64,1027.65,3.11,,-1740.21
1102.65,-713.12,110.86,,1102.65,1027.62,3.11,,-1740.74
1102.66,-713.69,110.92,,1102.66,1027.59,3.11,,-1741.28
1102.67,-714.26,110.98,,1102.67,1027.56,3.11,,-1741.82
1102.68,-714.83,111.04,,1102.68,1027.53,3.11,,-1742.36
1102.69,-715.4,111.1,,1102.69,1027.5,3.11,,-1742.9
1102.7,-715.97,111.16,,1102.7,1027.47,3.11,,-1743.44
1102.71,-716.54,111.22,,1102.71,1027.44,3.11,,-1743.98
1102.72,-717.11,111.28,,1102.72,1027.41,3.11,,-1744.52
1102.73,-717.68,111.34,,1102.73,1027.38,3.11,,-1745.06
1102.74,-718.26,111.41,,1102.74,1027.35,3.11,,-1745.61
1102.75,-718.83,111.47,,1102.75,1027.32,3.11,,-1746.15
1102.76,-719.41,111.53,,1102.76,1027.29,3.11,,-1746.7
1102.77,-719.98,111.59,,1102.77,1027.26,3.11,,-1747.24
1102.78,-720.56,111.65,,1102.78,1027.23,3.11,,-1747.79
1102.79,-721.14,111.72,,1102.79,1027.2,3.11,,-1748.34
1102.8,-721.72,111.78,,1102.8,1027.17,3.11,,-1748.89
1102.81,-722.3,111.84,,1102.81,1027.14,3.11,,-1749.44
1102.82,-722.88,111.91,,1102.82,1027.11,3.11,,-1749.99
1102.83,-723.46,111.97,,1102.83,1027.08,3.11,,-1750.54
1102.84,-724.04,112.03,,1102.84,1027.05,3.11,,-1751.09
1102.85,-724.62,112.1,,1102.85,1027.02,3.11,,-1751.64
1102.86,-725.21,112.16,,1102.86,1026.99,3.11,,-1752.2
1102.87,-725.79,112.23,,1102.87,1026.96,3.11,,-1752.75
1102.88,-726.38,112.29,,1102.88,1026.93,3.11,,-1753.31
1102.89,-726.96,112.35,,1102.89,1026.9,3.11,,-1753.86
1102.9,-727.55,112.42,,1102.9,1026.87,3.11,,-1754.42
1102.91,-728.14,112.48,,1102.91,1026.84,3.11,,-1754.98
1102.92,-728.73,112.55,,1102.92,1026.81,3.11,,-1755.54
1102.93,-729.32,112.61,,1102.93,1026.78,3.11,,-1756.1
1102.94,-729.91,112.68,,1102.94,1026.75,3.11,,-1756.66
1102.95,-730.5,112.74,,1102.95,1026.72,3.11,,-1757.22
1102.96,-731.09,112.81,,1102.96,1026.69,3.11,,-1757.78
1102.97,-731.69,112.88,,1102.97,1026.65,3.11,,-1758.34
1102.98,-732.28,112.94,,1102.98,1026.62,3.11,,-1758.9
1102.99,-732.88,113.01,,1102.99,1026.59,3.11,,-1759.47
1103,-733.48,113.08,,1103,1026.56,3.11,,-1760.04
1103.01,-734.07,113.14,,1103.01,1026.53,3.11,,-1760.6
1103.02,-734.67,113.21,,1103.02,1026.5,3.11,,-1761.17
1103.03,-735.27,113.28,,1103.03,1026.47,3.11,,-1761.74
1103.04,-735.87,113.34,,1103.04,1026.44,3.11,,-1762.31
1103.05,-736.47,113.41,,1103.05,1026.41,3.11,,-1762.88
1103.06,-737.08,113.48,,1103.06,1026.38,3.11,,-1763.46
1103.07,-737.68,113.55,,1103.07,1026.35,3.11,,-1764.03
1103.08,-738.28,113.62,,1103.08,1026.32,3.11,,-1764.6
1103.09,-738.89,113.68,,1103.09,1026.29,3.11,,-1765.18
1103.1,-739.49,113.75,,1103.1,1026.26,3.11,,-1765.75
1103.11,-740.1,113.82,,1103.11,1026.23,3.11,,-1766.33
1103.12,-740.71,113.89,,1103.12,1026.2,3.11,,-1766.91
1103.13,-741.32,113.96,,1103.13,1026.17,3.11,,-1767.49
1103.14,-741.93,114.03,,1103.14,1026.14,3.1,,-1768.07
1103.15,-742.54,114.1,,1103.15,1026.11,3.1,,-1768.65
1103.16,-743.15,114.17,,1103.16,1026.08,3.1,,-1769.23
1103.17,-743.76,114.24,,1103.17,1026.05,3.1,,-1769.81
1103.18,-744.38,114.31,,1103.18,1026.02,3.1,,-1770.4
1103.19,-744.99,114.38,,1103.19,1025.99,3.1,,-1770.98
1103.2,-745.61,114.45,,1103.2,1025.96,3.1,,-1771.57
1103.21,-746.23,114.52,,1103.21,1025.93,3.1,,-1772.16
1103.22,-746.84,114.59,,1103.22,1025.9,3.1,,-1772.74
1103.23,-747.46,114.66,,1103.23,1025.87,3.1,,-1773.33
1103.24,-748.08,114.73,,1103.24,1025.84,3.1,,-1773.92
1103.25,-748.71,114.8,,1103.25,1025.81,3.1,,-1774.52
1103.26,-749.33,114.88,,1103.26,1025.78,3.1,,-1775.11
1103.27,-749.95,114.95,,1103.27,1025.75,3.1,,-1775.7
1103.28,-750.57,115.02,,1103.28,1025.72,3.1,,-1776.29
1103.29,-751.2,115.09,,1103.29,1025.69,3.1,,-1776.89
1103.3,-751.83,115.16,,1103.3,1025.66,3.1,,-1777.49
1103.31,-752.45,115.24,,1103.31,1025.63,3.1,,-1778.08
1103.32,-753.08,115.31,,1103.32,1025.6,3.1,,-1778.68
1103.33,-753.71,115.38,,1103.33,1025.57,3.1,,-1779.28
1103.34,-754.34,115.46,,1103.34,1025.54,3.1,,-1779.88
1103.35,-754.97,115.53,,1103.35,1025.51,3.1,,-1780.48
1103.36,-755.61,115.6,,1103.36,1025.48,3.1,,-1781.09
1103.37,-756.24,115.68,,1103.37,1025.45,3.1,,-1781.69
1103.38,-756.87,115.75,,1103.38,1025.42,3.1,,-1782.29
1103.39,-757.51,115.83,,1103.39,1025.39,3.1,,-1782.9
1103.4,-758.15,115.9,,1103.4,1025.36,3.1,,-1783.51
1103.41,-758.79,115.98,,1103.41,1025.33,3.1,,-1784.12
1103.42,-759.42,116.05,,1103.42,1025.3,3.1,,-1784.72
1103.43,-760.06,116.13,,1103.43,1025.27,3.1,,-1785.33
1103.44,-760.71,116.2,,1103.44,1025.24,3.1,,-1785.95
1103.45,-761.35,116.28,,1103.45,1025.21,3.1,,-1786.56
1103.46,-761.99,116.36,,1103.46,1025.18,3.1,,-1787.17
1103.47,-762.64,116.43,,1103.47,1025.15,3.1,,-1787.79
1103.48,-763.28,116.51,,1103.48,1025.12,3.1,,-1788.4
1103.49,-763.93,116.59,,1103.49,1025.09,3.1,,-1789.02
1103.5,-764.58,116.66,,1103.5,1025.06,3.1,,-1789.64
1103.51,-765.23,116.74,,1103.51,1025.03,3.1,,-1790.26
1103.52,-765.88,116.82,,1103.52,1025,3.1,,-1790.88
1103.53,-766.53,116.89,,1103.53,1024.97,3.1,,-1791.5
1103.54,-767.18,116.97,,1103.54,1024.94,3.1,,-1792.12
1103.55,-767.83,117.05,,1103.55,1024.91,3.1,,-1792.74
1103.56,-768.49,117.13,,1103.56,1024.88,3.1,,-1793.37
1103.57,-769.15,117.21,,1103.57,1024.85,3.1,,-1794
1103.58,-769.8,117.29,,1103.58,1024.82,3.1,,-1794.62
1103.59,-770.46,117.37,,1103.59,1024.79,3.1,,-1795.25
1103.6,-771.12,117.44,,1103.6,1024.76,3.1,,-1795.88
1103.61,-771.78,117.52,,1103.61,1024.73,3.1,,-1796.51
1103.62,-772.44,117.6,,1103.62,1024.7,3.1,,-1797.14
1103.63,-773.11,117.68,,1103.63,1024.67,3.1,,-1797.78
1103.64,-773.77,117.76,,1103.64,1024.64,3.1,,-1798.41
1103.65,-774.44,117.84,,1103.65,1024.61,3.1,,-1799.05
1103.66,-775.1,117.93,,1103.66,1024.58,3.1,,-1799.68
1103.67,-775.77,118.01,,1103.67,1024.55,3.1,,-1800.32
1103.68,-776.44,118.09,,1103.68,1024.52,3.1,,-1800.96
1103.69,-777.11,118.17,,1103.69,1024.49,3.1,,-1801.6
1103.7,-777.78,118.25,,1103.7,1024.46,3.1,,-1802.24
1103.71,-778.45,118.33,,1103.71,1024.43,3.1,,-1802.88
1103.72,-779.13,118.42,,1103.72,1024.39,3.1,,-1803.52
1103.73,-779.8,118.5,,1103.73,1024.36,3.1,,-1804.16
1103.74,-780.48,118.58,,1103.74,1024.33,3.1,,-1804.81
1103.75,-781.16,118.66,,1103.75,1024.3,3.1,,-1805.46
1103.76,-781.84,118.75,,1103.76,1024.27,3.1,,-1806.11
1103.77,-782.52,118.83,,1103.77,1024.24,3.1,,-1806.76
1103.78,-783.2,118.91,,1103.78,1024.21,3.1,,-1807.41
1103.79,-783.88,119,,1103.79,1024.18,3.1,,-1808.06
1103.8,-784.56,119.08,,1103.8,1024.15,3.1,,-1808.71
1103.81,-785.25,119.17,,1103.81,1024.12,3.1,,-1809.37
1103.82,-785.94,119.25,,1103.82,1024.09,3.1,,-1810.03
1103.83,-786.62,119.34,,1103.83,1024.06,3.1,,-1810.68
1103.84,-787.31,119.42,,1103.84,1024.03,3.1,,-1811.34
1103.85,-788,119.51,,1103.85,1024,3.1,,-1812
